BT9 [  1,  -9.7068][        1,         -9.5986][               1,             -10.1551]
BYRDSPHR [  1, -10.2667][        1,         -9.6025][               1,              -9.6934]
BT10 [  1, -10.7496][        1,        -10.0134][               1,             -11.1109]
HS39 [  1, -11.0284][        1,        -10.1518][               1,              -9.8183]
MSS1 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
MARATOS [  1, -10.9650][        1,        -10.5572][               1,             -12.7323]
ORTHREGB [  1, -10.3729][        1,         -7.7577][               1,              -7.8912]
HS6 [  1, -10.0494][        1,         -7.0698][               1,              -9.8859]
BT8 [  1, -12.1200][        1,        -10.1524][               1,              -9.5088]
MSS2 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT1 [  1, -10.3081][        1,        -11.1828][               1,             -10.3156]
GENHS28 [  1,  -9.4657][        1,         -9.7860][               1,              -8.7541]
BT5 [  1,  -9.7423][        1,         -9.8146][               1,              -9.2407]
HS61 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT4 [  1,  -8.6472][        1,        -10.1468][               1,              -6.0150]
BT2 [  1,  -9.4561][        1,         -9.6588][               1,              -4.6206]
S316-322 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
FLT [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS51 [  1, -10.7666][        1,         -4.2375][               1,              -9.5960]
BT12 [  1, -11.7169][        1,         -9.5434][               1,              -9.9069]
HS52 [  1,  -6.2761][        1,        -10.0092][               1,              -4.3764]
HS48 [  1, -10.0749][        1,         -6.7476][               1,              -7.9586]
S308NE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS42 [  1,  -9.5220][        1,         -9.6431][               1,              -6.3617]
HS27 [  1, -10.5979][        1,         -9.8389][               1,              -7.7948]
DIXCHLNG [  1,  12.1217][        1,         -9.4447][               0,             100.0000]
COATINGNE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS28 [  1, -10.1303][        0,        100.0000][               1,              -9.0397]
DEVGLA2NE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT3 [  1, -13.3129][        1,         -9.7212][               1,              -9.6178]
HS79 [  1, -11.7028][        1,         -9.8310][               1,              -9.4198]
HS7 [  1,  -9.3450][        1,         -9.8131][               1,              -9.3161]
BT11 [  1,  -8.8334][        1,        -10.6786][               1,              -8.5311]
BT6 [  1, -10.2812][        1,         -8.0915][               1,              -7.0744]
HS40 [  1, -10.4918][        1,        -10.0805][               1,              -9.3728]
HS50 [  1,  -9.0671][        1,         -1.9118][               1,              -3.7310]
HS26 [  1,  -8.0513][        1,         -4.7712][               1,              -6.7969]
HS9 [  1,  -9.2628][        0,        100.0000][               1,              -8.2691]
HS100LNP [  1,  -5.8950][        1,         -9.4628][               1,              -0.1651]
HS77 [  1, -10.0709][        1,         -9.2951][               1,              -7.1627]
MWRIGHT [  1,  -5.5254][        1,         -9.6328][               1,              -3.3288]
HS46 [  1,  -9.0298][        1,         -5.1483][               1,              -6.8367]
HS49 [  1,  -7.7429][        1,          1.1889][               1,              -6.7129]
HS78 [  1, -11.5295][        1,        -10.0187][               1,              -8.6459]
HS56 [  1,  -7.3156][        1,         -9.5585][               1,              -4.5667]
HS111LNP [  1,  -7.8677][        1,         -1.4919][               1,              -9.3224]
HS47 [  1,  -9.1743][        1,         -4.5119][               1,              -4.6072]
