BT9 [  1,  -8.1376][        1,         -1.4340][               1,              -2.7815]
BYRDSPHR [  1,   2.8651][        1,         -0.6923][               1,              -3.0481]
BT10 [  1,  -6.7904][        1,         -0.8533][               1,              -3.6249]
HS39 [  1,  -7.2629][        1,         -1.3251][               1,              -2.3889]
MSS1 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
MARATOS [  1,  -7.8119][        1,         -0.5419][               1,              -4.3233]
ORTHREGB [  1,  -2.2455][        1,          0.6894][               1,              -2.8151]
HS6 [  1,  -6.4809][        1,         -0.1872][               1,              -3.1127]
BT8 [  1,  -7.2406][        1,         -0.5134][               1,              -3.0415]
MSS2 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT1 [  1,  -9.7215][        1,          0.0474][               1,              -2.8401]
GENHS28 [  1,  -6.6073][        1,          1.0286][               1,              -3.0837]
BT5 [  1,  -7.3096][        1,          1.0119][               1,              -3.7927]
HS61 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT4 [  1,  -7.0902][        1,          2.2008][               0,             100.0000]
BT2 [  1,  -7.1467][        1,         -2.2383][               0,             100.0000]
S316-322 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
FLT [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS51 [  1,  -6.7847][        0,        100.0000][               1,              -3.6309]
BT12 [  1,  -6.3433][        1,          0.7441][               1,              -3.0331]
HS52 [  1,  -6.2484][        1,          1.6112][               0,             100.0000]
HS48 [  1,  -6.5974][        1,          0.2291][               1,              -3.2294]
S308NE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS42 [  1,  -6.5293][        1,          0.6713][               1,              -3.3634]
HS27 [  1,  -9.7187][        1,         -1.1136][               0,             100.0000]
DIXCHLNG [  1,  12.1072][        1,          7.6012][               0,             100.0000]
COATINGNE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS28 [  1,  -7.0619][        1,          0.9513][               1,              -3.3777]
DEVGLA2NE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT3 [  1,  -7.2004][        1,          1.3828][               1,              -3.1679]
HS79 [  1,  -6.3978][        1,         -1.9143][               0,             100.0000]
HS7 [  1,  -9.8018][        1,         -0.2628][               1,              -2.4955]
BT11 [  1,  -6.4964][        1,          0.5141][               0,             100.0000]
BT6 [  1,  -6.9353][        1,         -0.6840][               0,             100.0000]
HS40 [  1,  -7.7276][        1,         -0.6880][               1,              -3.4562]
HS50 [  1,  -5.9180][        1,         -1.6615][               0,             100.0000]
HS26 [  1,  -7.3618][        1,         -1.1416][               0,             100.0000]
HS9 [  1,  -6.4555][        0,        100.0000][               1,              -3.3537]
HS100LNP [  1,  -4.6978][        1,          0.7848][               0,             100.0000]
HS77 [  1,  -6.5081][        1,         -0.4863][               0,             100.0000]
MWRIGHT [  1,  -4.0339][        1,          1.7950][               0,             100.0000]
HS46 [  1,  -6.7582][        1,         -2.5618][               0,             100.0000]
HS49 [  1,  -6.1724][        1,          0.4025][               0,             100.0000]
HS78 [  1,  -7.0074][        1,          0.2525][               1,              -2.7704]
HS56 [  1,  -5.5550][        1,          0.8275][               0,             100.0000]
HS111LNP [  1,  -5.8821][        1,          2.0584][               1,              -2.7373]
HS47 [  1,  -6.5592][        1,         -1.5890][               0,             100.0000]
