BT9 [  1,  -9.0864][        1,         -1.3481][               1,              -4.6868]
BYRDSPHR [  1,  -9.8991][        1,         -2.3837][               1,              -5.5915]
BT10 [  1, -10.2052][        1,         -0.9853][               1,              -9.6381]
HS39 [  1,  -8.1683][        1,         -0.9671][               1,              -4.9269]
MSS1 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
MARATOS [  1,  -9.3465][        1,        -10.1549][               1,              -7.6747]
ORTHREGB [  1,  -4.6831][        1,         -1.4992][               1,              -4.8722]
HS6 [  1,  -9.7369][        1,         -5.5545][               1,              -5.0235]
BT8 [  1,  -9.6120][        1,         -3.2043][               1,              -5.2502]
MSS2 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT1 [  1, -10.4905][        1,        -10.0562][               1,              -5.8225]
GENHS28 [  1,  -8.0161][        1,         -0.2514][               1,              -4.9639]
BT5 [  1,  -8.8383][        1,         -1.3339][               1,              -4.3101]
HS61 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT4 [  1,  -7.2205][        1,          1.9385][               1,              -4.1483]
BT2 [  1,  -8.0508][        1,         -3.1119][               1,              -4.9816]
S316-322 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
FLT [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS51 [  1,  -8.4888][        1,          0.1637][               1,              -4.7890]
BT12 [  1,  -9.2346][        1,         -0.7248][               1,              -4.7861]
HS52 [  1,  -8.3679][        1,          1.8373][               1,              -5.3506]
HS48 [  1,  -8.1827][        1,         -2.4855][               1,              -4.9471]
S308NE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS42 [  1,  -8.5845][        1,         -1.3897][               1,              -4.6321]
HS27 [  1,  -9.3393][        1,         -3.2718][               1,              -4.8873]
DIXCHLNG [  1,  12.1196][        1,          7.5990][               0,             100.0000]
COATINGNE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS28 [  1, -10.1219][        0,        100.0000][               1,              -5.9220]
DEVGLA2NE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT3 [  1,  -8.5515][        1,          2.5944][               1,              -5.0193]
HS79 [  1,  -8.5047][        1,         -2.5136][               1,              -4.7627]
HS7 [  1,  -8.7062][        1,         -9.9723][               1,              -4.5496]
BT11 [  1,  -7.0656][        1,         -1.0636][               1,              -3.0309]
BT6 [  1,  -8.1053][        1,         -2.0300][               1,              -3.8400]
HS40 [  1,  -8.2904][        1,         -0.7981][               1,              -5.3875]
HS50 [  1,  -8.5169][        1,         -0.7371][               1,              -4.4041]
HS26 [  1,  -7.2282][        1,         -4.8291][               1,              -4.9744]
HS9 [  1,  -8.7038][        0,        100.0000][               1,             -10.8924]
HS100LNP [  1,  -3.7742][        1,         -1.1143][               0,             100.0000]
HS77 [  1,  -8.1407][        1,         -1.9997][               1,              -4.2516]
MWRIGHT [  1,  -3.8564][        1,         -1.0522][               1,              -3.9109]
HS46 [  1,  -7.9882][        1,         -4.3058][               1,              -3.8354]
HS49 [  1,  -6.6945][        1,         -2.0218][               1,              -3.5600]
HS78 [  1,  -8.6149][        1,         -1.7561][               1,              -4.5431]
HS56 [  1,  -5.9876][        1,         -0.2706][               0,             100.0000]
HS111LNP [  1,  -6.5749][        1,         -0.5252][               1,              -5.4291]
HS47 [  1,  -7.7919][        1,         -3.8701][               1,              -4.4014]
