BT9 [  1,  -7.8658][        1,         -1.3428][               1,              -4.4021]
BYRDSPHR [  1,  -7.5270][        1,         -1.0625][               1,              -4.1389]
BT10 [  1,  -7.3795][        1,         -0.7957][               1,              -5.9123]
HS39 [  1,  -7.8794][        1,         -1.1598][               1,              -3.9365]
MSS1 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
MARATOS [  1,  -9.2188][        1,         -0.4873][               1,              -5.2545]
ORTHREGB [  1,  -4.2217][        1,         -0.2063][               1,              -3.9562]
HS6 [  1,  -7.7449][        1,         -5.7506][               1,              -4.0959]
BT8 [  1,  -7.7759][        1,         -1.7616][               1,              -5.7340]
MSS2 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT1 [  1,  -6.8954][        1,        -10.4904][               1,              -4.8412]
GENHS28 [  1,  -7.3502][        1,          0.4192][               1,              -4.2520]
BT5 [  1,  -7.2534][        1,         -0.0889][               1,              -3.4259]
HS61 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT4 [  1,  -7.1226][        1,          1.9684][               1,              -3.7508]
BT2 [  1,  -7.8536][        1,         -3.6719][               1,              -3.3228]
S316-322 [  0, 100.0000][        0,        100.0000][               0,             100.0000]
FLT [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS51 [  1,  -7.3647][        1,         -1.2209][               1,              -4.6960]
BT12 [  1,  -7.8921][        1,         -0.4910][               1,              -4.0518]
HS52 [  1,  -7.1812][        1,          0.9357][               1,              -3.2210]
HS48 [  1,  -7.4061][        1,         -2.1707][               1,              -3.9248]
S308NE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS42 [  1,  -7.3596][        1,         -0.3404][               1,              -3.9766]
HS27 [  1, -10.4700][        1,         -3.9059][               0,             100.0000]
DIXCHLNG [  1,  12.1181][        1,          7.5991][               0,             100.0000]
COATINGNE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
HS28 [  1,  -7.6229][        1,          0.3126][               1,              -4.6350]
DEVGLA2NE [  0, 100.0000][        0,        100.0000][               0,             100.0000]
BT3 [  1,  -7.6065][        1,          2.6794][               1,              -4.1691]
HS79 [  1,  -7.4510][        1,         -2.0255][               1,              -4.1844]
HS7 [  1,  -7.6896][        1,         -1.4770][               1,              -4.1714]
BT11 [  1,  -7.9184][        1,         -0.2007][               0,             100.0000]
BT6 [  1,  -7.4478][        1,         -1.5109][               0,             100.0000]
HS40 [  1,  -7.2829][        1,         -0.5097][               1,              -5.0871]
HS50 [  1,  -7.6915][        1,         -0.7825][               0,             100.0000]
HS26 [  1,  -6.9661][        1,         -1.8434][               1,              -3.5265]
HS9 [  1,  -7.6884][        0,        100.0000][               1,              -9.3464]
HS100LNP [  1,  -3.8274][        1,          0.1933][               0,             100.0000]
HS77 [  1,  -6.8807][        1,         -0.9512][               0,             100.0000]
MWRIGHT [  1,  -5.3228][        1,          0.3017][               0,             100.0000]
HS46 [  1,  -7.3923][        1,         -1.9878][               0,             100.0000]
HS49 [  1,  -6.3921][        1,         -0.3890][               0,             100.0000]
HS78 [  1,  -7.3032][        1,         -0.0394][               1,              -3.8119]
HS56 [  1,  -5.6219][        1,          0.7178][               0,             100.0000]
HS111LNP [  1,  -6.6085][        1,          0.5603][               1,              -2.6635]
HS47 [  1,  -7.3991][        1,         -1.8641][               0,             100.0000]
